start	end	text
0	9000	Блокнот. У меня сегодня весело утро, потому что мы поменяли оператора буквально неделю назад.
9000	16000	Из-за его он не успевал надолго в экспедиции быть, в Оксарах, у него другие дипломные проекты,
16000	23000	поэтому мне пришлось искать замену, и собственно из-за этого у меня такая была веселая неделя.
23000	33000	Но в связи с этим есть... Да, обязательно, потому что иначе они не дают технику,
33000	39000	а они, например, рентал нам не оплачивают. Но вот, например, там есть, я очень надеюсь сейчас пробить,
39000	48000	я сейчас выясняю финально по смете, сколько у нас денег в смете, и возможно я смогу выделить какую-то сумму,
48000	55000	если нам, то есть я какой-то лимит уже поставила. Там, в общем, лимит у других ребят миллион восемьсот,
55000	62000	у меня почему-то миллион шестьсот. И вот мы угадываемся в этот лимит, но я хочу заложить, спасибо большое,
62000	70000	хочу заложить еще на героев, на вас какую-то сумму, чтобы тоже как-то, ну, короче, использовать гранд.
70000	78000	Просто из-за того, что это есть возможность. Это при том, что мы все какие-то свои расходы покроем,
78000	84000	которые возможны. Ну, просто смотри, мы все равно из своих карман скорее всего будем оплачивать цветокоррекцию,
84000	93000	потому что она не оплачивается. Точнее как, да? Во ВГИКе есть возможность оплатить цветокоррекцию
93000	102000	на ВГИКовской студии. Проблема в том, что во ВГИКовской студии ты как бы снимаешь этот экран,
102000	108000	на экран проецируется изображение на белый, и из-за этого вся цветокоррекция выглядит как будто она на белом фоне.
108000	115000	И из-за этого все, что ты будешь в дальнейшем делать с изображением, оно по-другому будет выглядеть.
115000	122000	И там еще есть цветокорщик свой, который тоже, скажем так, ему пофиг на твою работу.
122000	135000	Вот, например, есть еще тема с тем, что... Господи. Есть тема с видеоинженером.
135000	141000	Что за видеоинженер у меня в смете? Я сама буду монтировать фильм, цветокоррекцию сама буду делать.
141000	146000	Что? Кто этот человек? Чем он будет заниматься? Почему мы ему платим деньги с моего гранта?
146000	153000	Короче, такие вот моменты. Поэтому там есть оплата героев. Скорее всего, мы не сможем большую сумму выделить.
153000	158000	Но почему, если есть возможность. Если она будет, мы выясняем сейчас об этой возможности.
158000	167000	Потому что пока мы не укладываемся в лимит какой-то, Энной, но он должен быть еще большим. Вот из-за чего.
167000	172000	Я хотела, во-первых, тебя спросить. Из-за того, что я оператора поменяла.
172000	179000	Там очень классный девочек. Мы сейчас хотим попробовать. Из-за того, что у тебя такая мастерская квартира.
179000	185000	И ты говорила, что ты вообще делаешь работу в другом, в чужих квартирах.
185000	189000	У меня вопрос. Если мы снимем студию, тебе будет комфортно в студии?
189000	191000	Да, абсолютно.
191000	195000	Тогда мы будем искать сейчас какое-то пространство большое, чтобы нам красиво, стильно все сделать.
196000	201000	Я могу, например, попробовать на природе это сделать.
201000	204000	Ну, если это, конечно, твои сложности.
204000	208000	Я тоже об этом думала. Единственное, что я боялась, что тебе будет комфортно.
208000	216000	Я почему так решила? Потому что я, Ольти, короче, я часто работаю с распилителем.
216000	219000	Типа, когда ты с авиазольной кассой в дом не проводишь.
219000	222000	И поэтому нам нужно постоянно походить в дом, чтобы не уходить.
222000	223000	Хорошо.
223000	226000	Я предполагаю в проекте использовать аэрозольную кассу.
226000	227000	В этом?
227000	228000	Да.
228000	230000	А ты можешь, наброс, можешь еще на диктофон?
230000	233000	Я тебя несколько раз попросила описать более подробно.
233000	238000	Потому что, когда я девчонкам пытаюсь объяснить то, что ты мне объяснила, я чувствую, что там выпадают слова.
238000	240000	Если, как я поняла, что это карта будет.
