start	end	text
0	12000	Знаете, такую студию сняла абсолютно ясно, но вот только сегодня я сговорил с другом, который там работал, но всё, её больше не было.
12000	15000	Да, её снесли, там ЖК сейчас построили.
15000	20000	Уже снесли, да, раньше просто, но я вообще не понимаю, как это можно так делать, потому что...
20000	28000	Там такая история была же, что люди, которые изначально это строили, там в 2000 каком-то году, я не помню, извините, даты,
28000	39000	их предупредили потом, пять назад лет, что мы вас снесём, там хорошее место, там же напротив как раз-таки надорежной,
39000	46000	и они быстренько продали Синелап другим людям, которым уже было без разницы на это, и они и жили.
46000	53000	Да, у меня там очень много же... У нас звукорежиссёров там вольные пары у них были, я туда приезжала,
53000	62000	ну я стремилась как бы всегда в сторону звука, но, к сожалению, мне очень тяжело даётся вот эти темпоритмы,
62000	67000	изучение фук, это меня всегда как-то тяжело даёт.
67000	76000	Слушайте, вот Мишка Медведев, мы с ним давно знакомы, он музыкант, и он работал именно как звуковик на этом саундмиксе,
76000	84000	буквально мы сегодня пару часов назад разговаривали, он говорит, Руслан, такой студии в мире вообще просто,
84000	90000	не говорёшь, в России это было лучше, буквально киноиндустрии, а мы записывали просто вот и первый агумент,
90000	97000	весь рекордский агумент мы записали там, на командировании своей музыкальной студии звукозаписи,
97000	104000	и то, что, как там всё это устроили, начиная с лифта, да там, с произведения искусства,
104000	108000	и приехал экскаватор, это всё снёс просто под корень, но это тукаро.
108000	115000	Это очень печально, но у нас звукорежиссёров остаётся на Мосфильме, как бы главная студия,
115000	128000	у нас был Мосфильм и Синелаб, но справедливости ради всем неудобно было на Мосфильме, все обожали Синелаб,
128000	136000	все были очень-очень огорчены, у нас весь год во ВГИКе прошёл примерно под лозунгом того, что они делают Синелаб.
137000	145000	Вот у нас не то же самое, мы записали рекордский на Синелабе, вот этот сезонный мы записали на Мосфильме,
145000	150000	просто потому что у Синелаба всё было занято, мы просто по дату не совпали.
150000	155000	Вот, и этот альбом был инструментальный, я тоже очень хотел записывать на Синелабе,
155000	163000	но там опять же произошло какое-то непонимание с заказчиком, и поэтому мы записывали это на Мосфильме.
163000	168000	Мне кажется, это везде, кстати, такое происходит.
