start	end	text
0	6880	я просто чтобы подготовиться к интервью, хочу потом все транскрибировать, все для себя выделить
6880	14480	и более точно сформулировать вопрос. В общем, я для начала представлюсь, меня зовут Соня,
14480	22120	вот я учусь в ГИКе, на пятом курсе сейчас прихожу, вот у меня как раз-таки сейчас работаю над
22120	29760	документальным фильмом, ну вот то, что вам говорила и Настя, и Лида, вот. Я хотела бы сегодня обсудить
29760	35720	вообще про ваше творчество, поговорить, чтобы потом более подробные вопросы подготовить на
35720	41680	интервью и еще хотел технический момент тоже обсудить по поводу того, как у вас выглядит
41680	50080	репетиция, как выглядит ген прогон, как выглядят концерты, ну изнутри. Хорошо. Я тогда начну сразу
50080	59200	про проект, мне хотелось начать с вас в плане того, что как у вас в детстве было интегрировано
59200	63720	вообще в вашу жизнь, в вашу культуру, а я так понимаю, что вы же по национальности ЧУВАЖ?
63720	73520	Да. Вот, а вы родились в деревне или в городе? Там интересная история, я родился в Чубоксарах,
74000	81040	родители у меня абсолютно деревенские жители, папа и мама. Отец у меня был военным, поэтому мама
81040	90600	меня родила в пятом курсе института, вышла замуж, защитила диплом, и сразу же, спустя 4 месяца,
90600	99240	уехала к отцу на службу, это было в Крыму под силостопы, поэтому я до 10 лет жил в Крыму. Вот,
99240	110120	потом отца перевели в Украину, 4 года мы еще жили в Украине, потом был в Дальнем Восток,
110120	120200	3 года я школу заканчивал уже на Дальнем Востоке, и в 92 году после школы в 17 я поступил,
120200	132360	я поступил на Юрфак ЧГУ, там я прожил 7 лет, в 99 году я уехал в Москву, поскольку я уже
132360	140640	поступил в астронатуру здесь, и с 99 года я в Москве. Что касается ЧУВАЖской культуры,
140640	150240	практически все время, каждый год, все летние каникулы мы проводили в деревне,
150240	158080	то есть приезжали в деревню, это как раз там пора Синакоса, и вот как святое, все приезжали
158080	171680	обязательно в 4-5 утра, вот это Синакос, ну, я думаю, там 2-3 недели в середину лет, это все было в ЧУВАЖской деревне.
171680	181680	А в какой? Ну, родители у меня есть. Ну, отца деревня на границе с Ядринским и Маргаушским районами,
181680	193840	это Яховые ЧУВАШИ, а Маргаушская района тоже Яховые ЧУВАШИ, деревня Шоникова, родители всю жизнь
193840	201600	разговаривали дома друг с другом на ЧУВАЖском языке, поэтому я эту речь слушал всегда, поэтому она у меня на слуху,
201600	210400	и единственное, что у меня за братом они не разговаривали с нами по-ЧУВАЖски, они с нами разговаривали по-русски,
210400	217920	потому что мама очень хотела, чтобы мы говорили на чистом ЧУВАЖском, на чистом русском языке без ЧУВАЖского акцента.
217920	224960	Угу, получается, вы выучили ЧУВАЖский язык в связи с тем, что родители сами между собой общались,
224960	229920	иногда они, наверное, вас учили или вы самостоятельно учили в деревне?
230160	239120	Нет, я просто это слышал, и всё, не потому что у меня чуть более развит слух, как у музыканта,
239120	245520	поэтому он как-то более ложился именно на мосту, потому что брат у меня вообще не знает ЧУВАЖского языка,
245520	254720	и я там ещё поняла, пытаюсь его учить когда-нибудь, хочется до 14-20 лет посмотреть на его язык.
254720	259520	Кстати, получается, вы на юридические же поступили, а когда у вас было музыкальное образование?
260800	265520	Музыкальное образование у меня это закончилось в 89 году в музыкальной школе,
265520	275520	я закончил в 89 году музыкальную школу в городе Николаево, по классу фракеперна, вот, да, на этом музыкальное образование.
275520	278800	Вы дальше не пошли, да, в какую-то консерваторию?
280000	286160	Нет, нет, у меня и были мысли поступать в музыкальное училище, там Хабаровский в том числе,
286240	290320	но как-то не пошёл я по этой студии дальше.
290320	297200	Вы просто там, я, когда готовилась, я причиталась в интервью, сказали, что вас спрашивали показать ЧУВАЖские песни,
297200	303680	и вы не знали, что показать, и я хотела спросить, а кто вас спрашивал по поводу ЧУВАЖских песен?
303680	310400	Это не совсем так, это, наверное, что-то вырвано из контекста,
310560	322640	скорее всего, я это говорил о том, когда мои родители в каком-то отпуске, ну, уже прям будучи взрослыми людьми,
322640	331040	они оказались в гостях у одной армянской семьи, вот, где-то я там на курорте познакомились,
331680	341680	и, значит, вот армянская семья была в гостях, не сидя на столу, отец семейства, а значит, своя дочка вышла старшая доченька,
341680	347440	и дочка спой какую-нибудь армянскую песню, это всё видно, я на видео это всё смотрел,
